Load,node,demand_avg,demand_ref
AL0 0,AL0 0,770.5126362125624,dem_AL_1
AT0 0,AT0 0,7177.415182705013,dem_AT_1
BA0 0,BA0 0,1384.9137351763302,dem_BA_1
BE0 0,BE0 0,9695.153310355096,dem_BE_1
BG0 0,BG0 0,4280.342922066989,dem_BG_1
CH0 0,CH0 0,6583.716431706573,dem_CH_1
CZ0 0,CZ0 0,7554.507930895836,dem_CZ_1
DE0 0,DE0 0,55933.10148353838,dem_DE_1
DK0 0,DK0 0,2301.7875254948935,dem_DK_1
DK1 0,DK1 0,1526.9849785016552,dem_DK_1
EE0 0,EE0 0,939.6741990964707,dem_EE_1
ES0 0,ES0 0,27921.0490837881,dem_ES_1
ES2 0,ES2 0,616.3297408892139,dem_ES_1
FI1 0,FI1 0,9524.97245433581,dem_FI_1
FR0 0,FR0 0,52630.47696225414,dem_FR_1
FR6 0,FR6 0,746.8989513336252,dem_FR_1
GB3 0,GB3 0,34051.912985790375,dem_GB_1
GB4 0,GB4 0,875.818276156247,dem_GB_1
GR0 0,GR0 0,5898.31984396547,dem_GR_1
HR0 0,HR0 0,2039.6002284751091,dem_BA_1
HU0 0,HU0 0,4970.174086913017,dem_HU_1
IE4 0,IE4 0,3317.880479249127,dem_IE_1
IT0 0,IT0 0,32233.373277328876,dem_IT_1
IT5 0,IT5 0,1355.9267226989955,dem_IT_1
LT0 0,LT0 0,1389.9353561331693,dem_LT_1
LU0 0,LU0 0,460.94142098709875,dem_LU_1
LV0 0,LV0 0,824.9260277717625,dem_LV_1
ME0 0,ME0 0,392.01520097462554,dem_AL_1
MK0 0,MK0 0,905.6902917426471,dem_AL_1
NL0 0,NL0 0,12660.369931459645,dem_NL_1
NO1 0,NO1 0,15258.07946188243,dem_NO_1
PL0 0,PL0 0,19282.656792064998,dem_PL_1
PT0 0,PT0 0,5747.069571870429,dem_PT_1
RO0 0,RO0 0,6858.79717421597,dem_RO_1
RS0 0,RS0 0,4490.725742037874,dem_RS_1
SE1 0,SE1 0,15571.84977225996,dem_SE_1
SI0 0,SI0 0,1497.1917459209217,dem_SI_1
SK0 0,SK0 0,3315.7759259315385,dem_SK_1
