,node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband
0,AL0 0,AL0 0 oil,fossil_other,89.85454306,0,157.5238714,1,const,0,,,,,0,,
1,AL0 0,AL0 0 hydro,hydro,1492,0,0,0.9,inflow_AL_1,54949.05305,1,const,const,0.67,0,0,0
2,AL0 0,AL0 0 ror,ror,48.2,0,0,0.9,gen_ror_AL_1,0,,,,,0,,
3,AL0 0,AL0 0 solar-hsat,solar,14,0,0.01,1,gen_sol_AL_2,0,,,,,0,,
6,AT0 0,AT0 0 PHS,PHS,3120.1,0,0,0,const,815414.0756,1,const,const,0.67,3120.1,0.866025404,1.5
7,AT0 0,AT0 0 CCGT,fossil_gas,4463.2,0,46.5893075,1,const,0,,,,,0,,
8,AT0 0,AT0 0 hydro,hydro,2439.6,0,0,0.9,inflow_AT_1,1359905.486,1,const,const,0.67,0,0,0
9,AT0 0,AT0 0 ror,ror,5557.8,0,0,0.9,gen_ror_AT_1,0,,,,,0,,
10,AT0 0,AT0 0 solar-hsat,solar,1192.7,0,0.01,1,gen_sol_AT_2,0,,,,,0,,
11,AT0 0,AT0 0 onwind,wind_on,3034.6,0,0.015,1,gen_wind_AT_1,0,,,,,0,,
12,BA0 0,BA0 0 PHS,PHS,440,0,0,0,const,3.479069767,1,const,const,0.67,440,0.866025404,1.5
13,BA0 0,BA0 0 lignite,fossil_other,988.5,0,13.25665455,1,const,0,,,,,0,,
14,BA0 0,BA0 0 hydro,hydro,2169.8,0,0,0.9,inflow_BA_1,3058272.7,1,const,const,0.67,0,0,0
15,BA0 0,BA0 0 solar-hsat,solar,22.35,0,0.01,1,gen_sol_BA_2,0,,,,,0,,
16,BA0 0,BA0 0 onwind,wind_on,86.6,0,0.015,1,gen_wind_BA_1,0,,,,,0,,
17,BE0 0,BE0 0 PHS,PHS,1308,0,0,0,const,5710,1,const,const,0.67,1308,0.866025404,1.5
18,BE0 0,BE0 0 biomass,RES_other,619.25,0,15.82820513,1,const,0,,,,,0,,
19,BE0 0,BE0 0 CCGT,fossil_gas,6641.97,0,46.80312069,1,const,0,,,,,0,,
20,BE0 0,BE0 0 oil,fossil_other,242.13,0,157.5238714,1,const,0,,,,,0,,
21,BE0 0,BE0 0 hydro,hydro,12.73566879,0,0,0.9,inflow_BE_1,200000,1,const,const,0.67,0,0,0
