,node,desc,type,pmax,pmin,fuelcost,inflow_fac,inflow_ref,storage_cap,storage_price,storval_filling_ref,storval_time_ref,storage_ini,pump_cap,pump_efficiency,pump_deadband,scenario
0,AL0 0,AL0 0 oil,fossil_other,89.85454305809466,0.0,157.52387142857145,1.0,const,0.0,,,,,0.0,,,
1,AL0 0,AL0 0 hydro,hydro,1492.0,0.0,0.0,0.9,inflow_AL_1,54949.05305494765,1.0,const,const,0.67,0.0,0.0,0.0,
2,AL0 0,AL0 0 ror,ror,48.2,0.0,0.0,0.9,gen_ror_AL_1,0.0,,,,,0.0,,,
3,AL0 0,AL0 0 solar-hsat,solar,14.0,0.0,0.01,1.0,gen_sol_AL_2,0.0,,,,,0.0,,,
4,AT0 0,AT0 0 PHS,PHS,3120.1000000000004,0.0,0.0,0.0,const,815414.0755797116,1.0,const,const,0.67,3120.1000000000004,0.8660254037844386,1.5,
5,AT0 0,AT0 0 CCGT,fossil_gas,4463.2,0.0,46.589307502346536,1.0,const,0.0,,,,,0.0,,,
6,AT0 0,AT0 0 hydro,hydro,2439.5999999999995,0.0,0.0,0.9,inflow_AT_1,1359905.4862992014,1.0,const,const,0.67,0.0,0.0,0.0,
7,AT0 0,AT0 0 ror,ror,5557.8,0.0,0.0,0.9,gen_ror_AT_1,0.0,,,,,0.0,,,
8,AT0 0,AT0 0 solar-hsat,solar,1192.6999999999998,0.0,0.01,1.0,gen_sol_AT_2,0.0,,,,,0.0,,,
9,AT0 0,AT0 0 onwind,wind_on,3034.6,0.0,0.015,1.0,gen_wind_AT_1,0.0,,,,,0.0,,,
10,BA0 0,BA0 0 PHS,PHS,440.0,0.0,0.0,0.0,const,3.4790697674418403,1.0,const,const,0.67,440.0,0.8660254037844386,1.5,
11,BA0 0,BA0 0 lignite,fossil_other,988.5,0.0,13.256654545454545,1.0,const,0.0,,,,,0.0,,,
12,BA0 0,BA0 0 hydro,hydro,2169.8,0.0,0.0,0.9,inflow_BA_1,3058272.7003871705,1.0,const,const,0.67,0.0,0.0,0.0,
13,BA0 0,BA0 0 solar-hsat,solar,22.35,0.0,0.01,1.0,gen_sol_BA_2,0.0,,,,,0.0,,,
14,BA0 0,BA0 0 onwind,wind_on,86.6,0.0,0.015,1.0,gen_wind_BA_1,0.0,,,,,0.0,,,
15,BE0 0,BE0 0 PHS,PHS,1308.0,0.0,0.0,0.0,const,5710.000000000001,1.0,const,const,0.67,1308.0,0.8660254037844386,1.5,
16,BE0 0,BE0 0 biomass,RES_other,619.2500000000001,0.0,15.828205128205129,1.0,const,0.0,,,,,0.0,,,
17,BE0 0,BE0 0 CCGT,fossil_gas,6641.97,0.0,46.80312068965516,1.0,const,0.0,,,,,0.0,,,
18,BE0 0,BE0 0 oil,fossil_other,242.13,0.0,157.52387142857145,1.0,const,0.0,,,,,0.0,,,
19,BE0 0,BE0 0 hydro,hydro,12.73566878980889,0.0,0.0,0.9,inflow_BE_1,200000.0,1.0,const,const,0.67,0.0,0.0,0.0,
20,BE0 0,BE0 0 nuclear,nuclear,5943.0,0.0,14.013271165644172,0.883,const,0.0,,,,,0.0,,,
21,BE0 0,BE0 0 ror,ror,172.49,0.0,0.0,0.9,gen_ror_BE_1,0.0,,,,,0.0,,,
22,BE0 0,BE0 0 solar-hsat,solar,3369.05,0.0,0.01,1.0,gen_sol_BE_2,0.0,,,,,0.0,,,
23,BE0 0,BE0 0 offwind-dc,wind_off,1548.2,0.0,0.015,1.0,gen_wind_BE_2,0.0,,,,,0.0,,,
24,BE0 0,BE0 0 onwind,wind_on,2248.08,0.0,0.015,1.0,gen_wind_BE_4,0.0,,,,,0.0,,,
25,BG0 0,BG0 0 PHS,PHS,864.0,0.0,0.0,0.0,const,27340.0,1.0,const,const,0.67,864.0,0.8660254037844386,1.5,
26,BG0 0,BG0 0 CCGT,fossil_gas,1232.0,0.0,46.80312068965517,1.0,const,0.0,,,,,0.0,,,
27,BG0 0,BG0 0 coal,fossil_other,4475.0,0.0,22.73498787878788,1.0,const,0.0,,,,,0.0,,,
28,BG0 0,BG0 0 hydro,hydro,1810.0,0.0,0.0,0.9,inflow_BG_1,3747800.211932639,1.0,const,const,0.67,0.0,0.0,0.0,
29,BG0 0,BG0 0 nuclear,nuclear,2000.0,0.0,14.013271165644172,0.876,const,0.0,,,,,0.0,,,
30,BG0 0,BG0 0 ror,ror,537.0000000000001,0.0,0.0,0.9,gen_ror_BG_1,0.0,,,,,0.0,,,
31,BG0 0,BG0 0 solar-hsat,solar,1059.0,0.0,0.01,1.0,gen_sol_BG_2,0.0,,,,,0.0,,,
32,BG0 0,BG0 0 onwind,wind_on,700.0,0.0,0.015,1.0,gen_wind_BG_3,0.0,,,,,0.0,,,
33,CH0 0,CH0 0 PHS,PHS,6640.700000000001,0.0,0.0,0.0,const,450073.4779792854,1.0,const,const,0.67,6640.700000000001,0.8660254037844386,1.5,
34,CH0 0,CH0 0 biomass,RES_other,86.3972,0.0,15.828205128205129,1.0,const,0.0,,,,,0.0,,,
35,CH0 0,CH0 0 CCGT,fossil_gas,55.0,0.0,46.80312068965517,1.0,const,0.0,,,,,0.0,,,
36,CH0 0,CH0 0 hydro,hydro,5418.8,0.0,0.0,0.9,inflow_CH_1,3256149.9695236534,1.0,const,const,0.67,0.0,0.0,0.0,
37,CH0 0,CH0 0 nuclear,nuclear,3373.0,0.0,14.013271165644172,0.834,const,0.0,,,,,0.0,,,
38,CH0 0,CH0 0 ror,ror,634.5000000000001,0.0,0.0,0.9,gen_ror_CH_1,0.0,,,,,0.0,,,
39,CH0 0,CH0 0 solar-hsat,solar,2498.0,0.0,0.01,1.0,gen_sol_CH_2,0.0,,,,,0.0,,,
40,CH0 0,CH0 0 onwind,wind_on,75.0,0.0,0.015,1.0,gen_wind_CH_1,0.0,,,,,0.0,,,
41,CZ0 0,CZ0 0 coal,fossil_other,10030.000000000002,0.0,22.73498787878788,1.0,const,0.0,,,,,0.0,,,
42,CZ0 0,CZ0 0 solar-hsat,solar,2049.0,0.0,0.01,1.0,gen_sol_CZ_2,0.0,,,,,0.0,,,
43,CZ0 0,CZ0 0 onwind,wind_on,316.0,0.0,0.015,1.0,gen_wind_CZ_1,0.0,,,,,0.0,,,
44,DE0 0,DE0 0 PHS,PHS,9422.000000000002,0.0,0.0,0.0,const,46471.15338186716,1.0,const,const,0.67,9422.000000000002,0.8660254037844386,1.5,
45,DE0 0,DE0 0 biomass,RES_other,7752.13,0.0,15.828205128205129,1.0,const,0.0,,,,,0.0,,,
46,DE0 0,DE0 0 CCGT,fossil_gas,31664.0,0.0,55.604292034995865,1.0,const,0.0,,,,,0.0,,,
47,DE0 0,DE0 0 coal,fossil_other,50854.0,0.0,63.579265440116295,1.0,const,0.0,,,,,0.0,,,
48,DE0 0,DE0 0 hydro,hydro,1297.9999999999998,0.0,0.0,0.9,inflow_DE_1,1345077.7202072537,1.0,const,const,0.67,0.0,0.0,0.0,
49,DE0 0,DE0 0 nuclear,nuclear,9516.000000000002,0.0,13.8864,0.926,const,0.0,,,,,0.0,,,
50,DE0 0,DE0 0 ror,ror,3982.92,0.0,0.0,0.9,gen_ror_DE_1,0.0,,,,,0.0,,,
51,DE0 0,DE0 0 solar-hsat,solar,45298.98,0.0,0.01,1.0,gen_sol_DE_2,0.0,,,,,0.0,,,
52,DE0 0,DE0 0 offwind-dc,wind_off,6392.999999999999,0.0,0.015,1.0,gen_wind_DE_2,0.0,,,,,0.0,,,
53,DE0 0,DE0 0 onwind,wind_on,52791.63,0.0,0.015,1.0,gen_wind_DE_4,0.0,,,,,0.0,,,
54,DK0 0,DK0 0 biomass,RES_other,1438.1538461538462,0.0,15.828205128205129,1.0,const,0.0,,,,,0.0,,,
55,DK0 0,DK0 0 CCGT,fossil_gas,677.3012233888836,0.0,50.73735790541262,1.0,const,0.0,,,,,0.0,,,
56,DK0 0,DK0 0 coal,fossil_other,2155.134991623678,0.0,32.213321212121215,1.0,const,0.0,,,,,0.0,,,
57,DK0 0,DK0 0 solar-hsat,solar,781.6342272921738,0.0,0.01,1.0,gen_sol_DK_2,0.0,,,,,0.0,,,
58,DK0 0,DK0 0 offwind-dc,wind_off,856.3969896519286,0.0,0.015,1.0,gen_wind_DK_2,0.0,,,,,0.0,,,
