,AL,AT,BA,BE,BG,CH,CZ,DE,DK,EE,ES,FI,FR,GB,NI,GR,HR,HU,IE,IT,LT,LU,LV,ME,MK,NL,NO,PL,PT,RO,RS,SE,SI,SK
AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1787.4764334110814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2279.0324525991286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AT,0.0,0.0,0.0,0.0,0.0,4155.882707680764,4379.31726185715,16310.72245487612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4379.31726185715,0.0,983.1120383760948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3887.761242669102,0.0
BA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7015.845001138495,0.0,0.0,0.0,0.0,0.0,0.0,4066.50888601021,0.0,0.0,0.0,0.0,0.0,0.0,2279.0324525991286,0.0,0.0,0.0
BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,6870.612540923845,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983.1120383760948,0.0,0.0,0.0,6792.41044696211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1787.4764334110814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1787.4764334110814,0.0,0.0,0.0,0.0,7149.905733644326,1787.4764334110814,0.0,0.0,0.0
CH,0.0,4155.882707680764,0.0,0.0,0.0,0.0,0.0,27482.450163695376,0.0,0.0,0.0,0.0,7786.694213047024,0.0,0.0,0.0,0.0,0.0,0.0,7552.08793116182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZ,0.0,4379.31726185715,0.0,0.0,0.0,0.0,0.0,6792.41044696211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4558.064905198257,0.0,0.0,0.0,0.0,0.0,6345.541338609339
DE,0.0,16310.72245487612,0.0,1000.0,0.0,27482.450163695376,6792.41044696211,0.0,10788.615670443165,0.0,0.0,0.0,10668.999961922393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1966.2240767521896,0.0,0.0,0.0,13584.82089392422,1400.0,7149.905733644326,0.0,0.0,0.0,600.0,0.0,0.0
DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10788.615670443165,600.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,1640.0,0.0,0.0,0.0,0.0,4254.952866822163,0.0,0.0
EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3318.00312951932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,6569.236632907077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21002.848092580207,0.0,0.0,0.0,0.0,0.0
FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983.1120383760948,0.0,0.0,0.0,0.0,4874.952866822163,0.0,0.0
FR,0.0,0.0,0.0,6870.612540923845,0.0,7786.694213047024,0.0,10668.999961922393,0.0,0.0,6569.236632907077,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,6465.157047130111,0.0,502.7277468968667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GB,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,1400.0,0.0,0.0,0.0,4000.0,500.0,0.0,0.0,0.0,0.0,2343.335071955177,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GR,1787.4764334110814,0.0,0.0,0.0,1787.4764334110814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,0.0,3574.952866822163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HR,0.0,0.0,7015.845001138495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7149.905733644326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1787.4764334110814,0.0,6345.541338609339,0.0
HU,0.0,4379.31726185715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7149.905733644326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3574.952866822163,1787.4764334110814,0.0,3574.952866822163,8937.382167055406
IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2343.335071955177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IT,0.0,983.1120383760948,0.0,0.0,0.0,7552.08793116182,0.0,0.0,0.0,0.0,0.0,0.0,6465.157047130111,0.0,0.0,500.0,0.0,0.0,0.0,10000.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2189.658630928575,0.0
LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4424.004172692426,0.0,0.0,0.0,0.0,3574.952866822163,0.0,0.0,0.0,700.0,0.0,0.0
LU,0.0,0.0,0.0,983.1120383760948,0.0,0.0,0.0,1966.2240767521896,0.0,0.0,0.0,0.0,502.7277468968667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3318.00312951932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4424.004172692426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ME,2279.0324525991286,0.0,4066.50888601021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,983.1120383760948,0.0,0.0,0.0
MK,0.0,0.0,0.0,0.0,1787.4764334110814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3574.952866822163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1787.4764334110814,0.0,0.0,0.0
NL,0.0,0.0,0.0,6792.41044696211,0.0,0.0,0.0,13584.82089392422,700.0,0.0,0.0,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,1640.0,0.0,0.0,983.1120383760948,0.0,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,7820.209396173482,0.0,0.0
PL,0.0,0.0,0.0,0.0,0.0,0.0,4558.064905198257,7149.905733644326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3574.952866822163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,0.0,3574.952866822163
PT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21002.848092580207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,0.0,0.0,0.0,0.0,7149.905733644326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3574.952866822163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10099.24184877261,0.0,0.0,0.0
RS,0.0,0.0,2279.0324525991286,0.0,1787.4764334110814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1787.4764334110814,1787.4764334110814,0.0,0.0,0.0,0.0,0.0,983.1120383760948,1787.4764334110814,0.0,0.0,0.0,0.0,10099.24184877261,0.0,0.0,0.0,0.0
SE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,600.0,4254.952866822163,0.0,0.0,4874.952866822163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0,7820.209396173482,600.0,0.0,0.0,0.0,0.0,0.0,0.0
