week_0,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41,week_42,week_43,week_44,week_45,week_46,week_47,week_48,week_49,week_50,week_51,const
5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1
4.92,4.91,4.91,4.9,4.9,4.89,4.88,4.88,4.87,4.86,4.85,4.84,4.83,4.82,4.82,4.8,4.8,4.82,4.84,4.85,4.88,4.89,4.9,4.91,4.91,4.92,4.92,4.92,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.93,4.92,4.92,4.92,1
4.83,4.82,4.82,4.81,4.8,4.78,4.77,4.76,4.74,4.72,4.71,4.69,4.66,4.63,4.63,4.6,4.6,4.63,4.69,4.71,4.76,4.78,4.8,4.82,4.82,4.84,4.84,4.85,4.85,4.85,4.86,4.86,4.86,4.86,4.86,4.86,4.87,4.86,4.86,4.87,4.87,4.86,4.87,4.87,4.86,4.86,4.86,4.85,4.85,4.85,4.84,4.84,1
4.75,4.74,4.73,4.71,4.7,4.67,4.65,4.63,4.61,4.59,4.56,4.53,4.49,4.45,4.45,4.4,4.4,4.45,4.53,4.56,4.63,4.67,4.7,4.72,4.74,4.76,4.76,4.77,4.78,4.78,4.79,4.79,4.79,4.79,4.79,4.79,4.8,4.79,4.79,4.8,4.8,4.79,4.8,4.8,4.79,4.79,4.79,4.78,4.78,4.77,4.76,4.76,1
4.66,4.65,4.63,4.62,4.6,4.56,4.54,4.51,4.48,4.45,4.41,4.37,4.32,4.27,4.27,4.2,4.2,4.27,4.37,4.41,4.51,4.56,4.6,4.63,4.65,4.67,4.69,4.7,4.71,4.71,4.72,4.72,4.72,4.72,4.72,4.72,4.73,4.72,4.72,4.73,4.73,4.72,4.73,4.73,4.72,4.72,4.72,4.71,4.71,4.7,4.69,4.67,1
4.58,4.56,4.54,4.52,4.5,4.45,4.42,4.39,4.35,4.31,4.27,4.21,4.15,4.08,4.08,4.0,4.0,4.08,4.21,4.27,4.39,4.45,4.5,4.54,4.56,4.59,4.61,4.62,4.63,4.63,4.65,4.66,4.66,4.66,4.66,4.66,4.67,4.66,4.66,4.67,4.67,4.66,4.67,4.67,4.66,4.66,4.65,4.63,4.63,4.62,4.61,4.59,1
4.49,4.47,4.45,4.43,4.4,4.34,4.31,4.27,4.22,4.18,4.12,4.06,3.98,3.9,3.9,3.8,3.8,3.9,4.06,4.12,4.27,4.34,4.4,4.45,4.47,4.51,4.53,4.54,4.56,4.56,4.57,4.59,4.59,4.59,4.59,4.59,4.6,4.59,4.59,4.6,4.6,4.59,4.6,4.6,4.59,4.59,4.57,4.56,4.56,4.54,4.53,4.51,1
4.41,4.38,4.36,4.33,4.3,4.23,4.19,4.14,4.09,4.04,3.97,3.9,3.82,3.72,3.72,3.6,3.6,3.72,3.9,3.97,4.14,4.23,4.3,4.36,4.38,4.43,4.45,4.47,4.49,4.49,4.5,4.52,4.52,4.52,4.52,4.52,4.53,4.52,4.52,4.53,4.53,4.52,4.53,4.53,4.52,4.52,4.5,4.49,4.49,4.47,4.45,4.43,1
4.32,4.3,4.27,4.23,4.2,4.12,4.07,4.02,3.96,3.9,3.83,3.74,3.65,3.53,3.53,3.4,3.4,3.53,3.74,3.83,4.02,4.12,4.2,4.27,4.3,4.35,4.37,4.39,4.41,4.41,4.43,4.45,4.45,4.45,4.45,4.45,4.47,4.45,4.45,4.47,4.47,4.45,4.47,4.47,4.45,4.45,4.43,4.41,4.41,4.39,4.37,4.35,1
4.24,4.21,4.18,4.14,4.1,4.01,3.96,3.9,3.84,3.76,3.68,3.59,3.48,3.35,3.35,3.2,3.2,3.35,3.59,3.68,3.9,4.01,4.1,4.18,4.21,4.27,4.29,4.32,4.34,4.34,4.36,4.38,4.38,4.38,4.38,4.38,4.4,4.38,4.38,4.4,4.4,4.38,4.4,4.4,4.38,4.38,4.36,4.34,4.34,4.32,4.29,4.27,1
4.15,4.12,4.08,4.04,4.0,3.9,3.84,3.78,3.71,3.62,3.53,3.43,3.31,3.17,3.17,3.0,3.0,3.17,3.43,3.53,3.78,3.9,4.0,4.08,4.12,4.19,4.21,4.24,4.27,4.27,4.29,4.31,4.31,4.31,4.31,4.31,4.33,4.31,4.31,4.33,4.33,4.31,4.33,4.33,4.31,4.31,4.29,4.27,4.27,4.24,4.21,4.19,1
4.07,4.03,3.99,3.95,3.9,3.79,3.73,3.66,3.58,3.49,3.39,3.27,3.14,2.98,2.98,2.8,2.8,2.98,3.27,3.39,3.66,3.79,3.9,3.99,4.03,4.1,4.14,4.17,4.19,4.19,4.22,4.24,4.24,4.24,4.24,4.24,4.27,4.24,4.24,4.27,4.27,4.24,4.27,4.27,4.24,4.24,4.22,4.19,4.19,4.17,4.14,4.1,1
